assembly_id,serial,version,date,category_id,notes
87,1,3.1.0,2012-01-18,50,
55,1,1.0.1,2011-07-07,50,hand-built / Andrew
53,1,3.0.0,2011-04-18,50,
101,1,1,2010-11-16,50,"Not Labeled, Original built Per Todd"
97,1,2.1.0,2010-04-07,50,Unmarked
103,1,3.1.1,2010-03-26,50,
88,1,5.1.0,2010-03-10,50,
75,1,7.5.0,2009-11-18,53,
102,1,1.1.0,2009-11-09,50,
51,1,2.1.0,2009-08-10,50,
96,1,4.1.0,2009-08-01,50,
76,1,4.0.0,,51,
80,1,1.0.0,,50,
23,1,1.0.4,,52,
85,1,1.0.0,,53,
86,1,1.0.0,,53,
35,1,2.1.0,,53,
98,1,4.1.0,,50,
104,1,3.1.0,,50,
76,2,1.0.0,2017-03-15,50,
18,2,2.0.0,2016-07-27,53,
92,2,,2012-01-18,50,
87,2,3.1.0,2011-08-15,50,To replace damaged HP from DVSD insident
55,2,1,2011-04-19,53,hand-built / Andrew
103,2,,2011-03-27,50,With Bill Kappauf
97,2,2.1.0,2010-11-30,50,Due to Bourns HP Failure
101,2,1,2010-11-16,50,"Not Labeled, Original built Per Todd"
102,2,1.1.0,2010-04-15,50,
104,2,3.2.0,2009-10-01,50,
75,2,7.6.0,,53,
80,2,1.0.0,,50,
23,2,1.0.4,,53,
85,2,1.0.0,,53,
86,2,1.0.0,,53,
92,2,6.1.1,,53,
35,2,2.1.0,,53,
51,2,2.1.0,,53,
53,2,3.1.0,,53,
98,2,4.1.0,,53,
18,3,2.0.0,2016-07-27,53,
86,3,1.0.0,2013-02-08,53,
55,3,2.1.0,2011-04-19,50,hand-built / Andrew
103,3,3.1.2,2011-03-27,50,Available in-house inventory
97,3,2.1.0,2010-09-15,50,For System #2
80,3,1.0.0,2010-07-01,50,
102,3,1.1.0,2010-06-18,50,
75,3,7.6.0,2010-05-05,50,
87,3,3.1.0,2010-03-25,53,
23,3,1.0.4,,53,
85,3,1.0.0,,53,
35,3,2.1.0,,53,
96,3,4.1.0,,50,One board marked with 001 and 005 (it is now 005 and a sp4)
52,3,1.2.0,,53,
53,3,3.1.0,,53,
98,3,4.1.0,,51,
100,3,3,,50,actual date sent unknown
104,3,3.1.0,,53,NEW EPROM MANU.! (cat24c64wi-g)
18,4,2.0.1,2016-10-04,50,
86,4,1.0.0,2013-02-08,53,
55,4,1,2011-04-19,53,hand-built / Andrew
75,4,7.7.1,2011-03-30,50,
103,4,3.1.2,2011-03-27,50,Available in-house inventory
49,4,3.0.0,2010-08-03,50,
97,4,2.1.0,2010-07-27,50,
80,4,1.0.0,2010-07-01,50,
87,4,3.1.0,2010-06-18,53,
96,4,4.1.0,2009-08-01,50,
104,4,3.1.0,2009-07-16,50,
40,4,,2009-05-12,50,
23,4,1.0.4,,51,
85,4,1.0.0,,53,
35,4,2.1.0,,53,
51,4,2.1.0,,53,
53,4,3.1.0,,53,
98,4,4.1.0,,53,
100,4,3,,50,actual date sent unknown
18,5,2.0.1,2016-10-04,50,
87,5,3.2.0,2013-10-16,50,
86,5,1.0.0,2013-02-08,53,
56,5,1.12.0,2012-12-31,50,Upgrade
97,5,2.1.0,2011-10-17,50,Per Gordon
55,5,1.10.0,2011-09-13,50,SOA System
103,5,3.1.2,2011-03-27,50,Available in-house inventory
49,5,3.1.0,2010-10-20,50,Per Todd
75,5,7.7.1,2010-04-24,53,
51,5,2.1.0,2010-03-01,50,
83,5,4.4.0 1600V,2009-09-04,50,
104,5,3.2.0,2009-08-01,50,
80,5,1.0.0,,53,
85,5,1.0.0,,50,
35,5,2.1.0,,53,
95,5,5.3.0,,50,
96,5,4.1.0,,50,After damage
53,5,3.1.0,,53,
98,5,4.1.0,,53,
101,5,1,,50,actual date sent unknown
18,6,2.0.1,2019-01-10,54,
26,6,4.0.0,2015-04-15,50,
86,6,1.0.0,2013-02-08,53,
56,6,1.12.0,2012-08-23,50,
83,6,4.4.0 1600v,2012-04-20,50,
64,6,4.0.0,2011-11-09,50,
102,6,1.2.0,2011-09-16,50,
49,6,3.1.0,2010-11-05,50,Built on Perf Board(Todd)
97,6,1.1.0?,2010-09-25,50,
52,6,2.90.0,2010-09-20,50,
104,6,3.4.0:2.0.0.0,2010-09-10,50,
80,6,1.0.0,2010-07-01,50,
74,6,8.0.1,2010-05-06,53,
40,6,2.2.0,2009-07-16,50,
85,6,1.0.0,,53,
35,6,2.1.0,,53,
96,6,4.1.1,,50,
53,6,3.1.0,,53,
98,6,4.1.0,,53,
55,6,1.0.2,,52,
101,6,1,,50,actual date sent unknown
18,7,2.0.1,2019-01-10,49,
45,7,2.0.0,2017-06-17,50,
26,7,4.0.0,2015-04-15,49,
35,7,2.1.1,2014-04-15,53,
86,7,1.0.0,2013-02-08,53,
56,7,1.12.0,2012-08-17,50,SOA System
55,7,1.11.0,2012-03-08,50,SOA System replacement for broken SOA board
97,7,2.1.0,2011-10-17,50,Per Gordon
49,7,3.1.0,2011-02-18,50,Available inventory (Todd)
104,7,3.4.1.2,2010-12-07,50,
80,7,1.0.0,2010-07-01,50,
74,7,8.0.1,2010-05-21,53,
96,7,4.1.1,2010-03-01,50,
40,7,2.3.0,2009-11-24,50,
83,7,4.3.0,2009-08-01,53,
51,7,2.1.0,2009-08-01,50,
84,7,2.0.0,,50,
53,7,3.1.0,,53,
98,7,4.1.0,,49,
101,7,1,,50,actual date sent unknown
64,7,4,,50,
18,8,2.0.1,2019-01-10,52,
45,8,2.0.0,2017-06-17,53,
26,8,4.0.0,2015-04-15,50,
35,8,2.1.1,2014-04-17,53,
86,8,1.0.0,2013-02-08,53,
55,8,1.2.1,2012-06-22,50,
74,8,8.0.1,2011-03-21,50,With Erwin to Minila
49,8,3.1.0,2011-02-25,50,Left with Gordon on 3/5/11
104,8,3.4.2.6,2011-02-25,50,
97,8,2.1.0,2010-11-29,50,
40,8,2.3.0,2009-11-24,50,
92,8,3.4.0,2009-11-10,50,
83,8,4.4.0 1600V,2009-10-23,53,
83,8,4.4.0 1600V,2009-05-01,53,
80,8,1.0.0,,53,
85,8,1.0.0,,53,
90,8,3.2.1,,53,
95,8,5.2.0,,53,
96,8,4.1.0,,50,Has added connector for TMU signals
51,8,2.1.0,,50,
53,8,3.1.0,,53,
98,8,4.1.0,,53,
101,8,1,,50,actual date sent unknown
64,8,4.1.0,,50,
18,9,2.0.1,2019-01-10,54,
45,9,2.0.0,2017-07-24,53,
26,9,4.0.0,2015-04-15,53,
35,9,2.1.1,2014-04-17,53,
104,9,3.4.2.6,2013-04-10,50,
86,9,1.0.0,2013-02-08,53,
55,9,1.2.1,2012-06-22,50,
102,9,1.2.0.0.0,2011-06-24,50,
49,9,3.1.1,2011-03-30,50,Available inventory (Todd)
90,9,3.2.1,2011-03-24,50,
52,9,2.91.0,2011-02-25,50,
97,9,2.1.0,2010-11-29,50,
80,9,1.0.0,2010-08-10,50,
74,9,8.0.1,2010-06-01,53,
96,9,4.1.0,2010-03-26,50,
40,9,2.3.0,2009-11-24,50,
83,9,3.4.0,2009-08-01,53,
83,9,3.4.0,,53,
85,9,1.0.0,,53,
92,9,3.4.0,,53,
95,9,5.2.0,,50,
53,9,3.1.0,,53,
98,9,4.1.0,,52,
101,9,1,,50,actual date sent unknown
18,10,2.0.1,2019-01-10,54,
98,10,4.1.0,2017-08-08,53,
45,10,2.0.0,2017-07-24,53,
84,10,2.0.0,2015-08-05,50,
53,10,3.1.0,2015-07-06,53,
26,10,4.0.0,2015-04-15,49,
35,10,2.1.1,2014-04-21,53,
74,10,8.0.2,2013-06-13,50,Note!!! Has QVI Muxing
86,10,1.0.0,2013-02-08,53,
55,10,1.2.0,2012-11-07,50,
64,10,4.1.0,2011-12-29,50,
49,10,3.1.0,2011-03-15,53,Available inventory (Todd)
97,10,2.1.0,2010-11-29,50,
80,10,1.0.0,2010-08-05,50,
51,10,2.1.0,2010-05-06,50,
96,10,4.1.0,2010-04-14,50,
40,10,2.3.0,2009-12-09,50,
82,10,5.1.0,2009-08-01,53,
92,10,3.4.0,2009-06-01,50,
76,10,4.0.0,,53,
24,10,2.0.0,,53,
90,10,3.2.1,,50,
95,10,5.2.0,,50,
101,10,1,,50,actual date sent unknown
104,10,3.4.0,,53,
26,11,4.0.0,2017-12-22,49,
45,11,2.0.0,2017-12-19,50,
53,11,3.1.0,2015-07-06,53,
35,11,2.3.0,2014-07-18,53,
55,11,1.4.0,2014-01-01,50,LDNA demo
86,11,1.0.0,2013-02-08,53,
74,11,8.0.2,2011-04-07,50,
52,11,2.95.2,2011-03-30,50,
40,11,2.3.0,2011-03-10,50,
104,11,1.2.0,2011-02-21,50,Checked out ok.
97,11,2.1.0,2010-11-29,50,
80,11,1.0.0,2010-08-10,50,
44,11,5.1.0,2010-05-06,50,
90,11,3.2.1,2010-05-04,50,
92,11,3.4.0,2009-06-03,50,
76,11,4.0.0,,53,
83,11,4.4.0 1600V,,53,
24,11,2.0.0,,53,
84,11,2.0.0,,53,
49,11,3.1.1,,50,Eprom error 8/23/11
98,11,4.1.0,,54,
101,11,1,,50,actual date sent unknown
99,12,4.0.1,2019-07-01,54,
26,12,4.0.0,2017-12-22,53,
45,12,2.0.0,2017-12-20,53,
53,12,3.1.0,2015-07-06,50,
35,12,2.1.1,2014-07-18,53,
104,12,3.4.0.4,2013-03-01,50,System USB damaged after problem wafer test.
86,12,1.0.0,2013-02-08,53,
102,12,,2012-04-09,50,
52,12,2.95.1,2011-10-06,50,Configured for RG Slot 1
49,12,3.20.0,2011-06-10,53,Available inventory (Todd)
97,12,2.1.0,2010-12-15,50,For Quad Site testing
40,12,3.1.0.2.0.0.2,2010-10-11,50," (entered by Todd) 10/11/10 Options = 2,0,0,2"
74,12,8.0.2,2010-08-07,53,
80,12,1??,2010-05-24,50,
96,12,4.1.1,2010-05-04,50,
82,12,5.1.0,2010-03-01,53,
92,12,,2009-09-24,50,From Sensitron
76,12,4.0.0,,53,
24,12,2.0.0,,50,
84,12,2.0.0,,53,Rensas FL are now using this SN
98,12,4.1.0,,54,
101,12,1,,50,actual date sent unknown
26,13,4.0.0,2017-12-22,49,
45,13,2.0.0,2017-12-22,53,
53,13,3.1.0,2015-07-06,53,
35,13,2.1.1,2014-07-18,53,
104,13,3.4.2.6,2014-02-11,50,Built to 4.0.0 but software doesn't support
86,13,1.0.0,2013-02-08,53,
40,13,3.21.0-2.0.1.2,2012-02-27,50,
64,13,4.1.0,2011-12-29,50,
44,13,5.1.1,2011-10-06,50,
49,13,3.1.1,2011-08-23,50,Available inventory (Todd)
97,13,2.1.0,2010-12-17,50,Does not have Buffer rework for Measurment
80,13,1??,2010-05-24,50,
51,13,2.1.0,2010-05-20,50,
82,13,5.1.0,2010-03-01,50,
92,13,3.4.0,2009-09-04,50,
90,13,3.2.1,2009-08-06,50,
95,13,5.2.0,2009-06-03,50,
74,13,8.0.2,,53,
76,13,4.0.0,,48,
24,13,2.0.0,,53,
84,13,2.0.0,,53,
101,13,1,,53,
26,14,4.0.0,2017-12-27,53,
45,14,2.0.0,2017-12-22,53,
53,14,3.1.0,2015-07-06,53,
35,14,2.1.1,2014-07-18,53,
90,14,3.2.1,2013-05-21,58,Board repaired. 2N3904 Bjt current limit found damaged mechanically
86,14,1.0.0,2013-02-08,53,
82,14,5.50.1,2012-02-15,50,
64,14,4.1.0,2011-12-30,50,Shipped with DB #13
97,14,2.1.?,2011-08-20,50,"Ch3 blow up, Todd repaired and added 1500pF for stapility per  M.Jones"
40,14,3.20.0.0.0.0.0,2011-06-20,50,Shipped with Low Leakage Mux
49,14,3.20.0,2011-06-10,53,Available inventory (Todd)
52,14,2.91,2011-06-06,50,
74,14,8.0.3,2011-02-21,50,Upgraded per Samantha
24,14,2.0.0,,53,
84,14,2.0.0,,53,
95,14,5.2.0,,50,
44,14,5.1.0,,53,
101,14,1,,53,
65,14,4.0.0,,53,
26,15,4.0.0,2017-12-27,50,
45,15,2.0.0,2017-12-22,53,
53,15,3.1.0,2017-08-07,53,
84,15,2.0.0,2017-05-10,50,
35,15,2.1.1,2014-07-18,53,
86,15,1.0.0,2013-02-08,53,
92,15,3.4.2,2012-04-12,50,
97,15,2.1.0,2011-05-13,50,
80,15,1.0.0,2010-08-31,50,
44,15,5.1.1,2010-05-20,50,
82,15,5.1.0,2010-03-26,53,
95,15,5.2.0,2009-10-12,50,
24,15,2.0.0,,53,
40,15,3.1.0,,53,
51,15,2.1.1,,53,
49,15,3.20.0,,53,
100,15,3,,53,
65,15,4.0.0,,53,
45,16,2.0.0,2017-12-27,53,
53,16,3.1.0,2017-08-08,53,
64,16,4.1.0,2015-08-25,50,
65,16,4.0.0,2015-03-16,50,To replace the original UHV without DF isolation.
35,16,2.1.1,2014-07-18,53,
49,16,3.1.1,2013-07-12,50,
86,16,1.0.0,2013-02-13,53,
51,16,2.1.0,2011-04-07,50,
74,16,8.0.3,2011-03-18,50,Uses 37 pin Dsub cbits with eprom wired for 26pin dsub connections
80,16,1.0.0,2010-08-31,50,
82,16,5.1.0,2010-04-14,53,
95,16,,2009-01-09,50,
74,16,8.0.2,,53,
24,16,2.0.0,,53,
84,16,2.0.0,,53,
90,16,3.2.1,,53,
92,16,3.4.0,,50,
40,16,3.1.0,,53,
97,16,2.2.0,,53,
100,16,3,,53,
45,17,2.0.0,2017-12-27,53,
64,17,4.2.0,2016-07-01,50,
35,17,2.1.1,2015-07-17,53,
65,17,4.0.0,2015-03-01,50,
49,17,3.1.1,2013-08-12,50,
86,17,1.0.0,2013-02-13,53,
92,17,3.4.1,2012-03-15,50,"Has 3.4.1 ""High Side Inductor"""
40,17,3.20.0-2.0.0.1,2011-08-15,50,KV4 Replaced
52,17,2.91,2011-06-06,50,
80,17,1.0.0,2010-08-31,50,
82,17,5.1.0,2010-05-04,50,
89,17,4.1.0,2009-08-27,50,
74,17,8.0.2,,53,
24,17,2.0.0,,49,
84,17,2.0.0,,53,
95,17,,,50,
46,17,3.1.0,,50,
45,18,2.0.0,2017-12-27,50,
35,18,2.1.1,2015-07-17,53,
65,18,4.0.0,2015-03-01,53,
49,18,3.1.1,2013-08-13,53,
86,18,1.0.0,2013-04-29,53,
92,18,3.1.0,2012-03-07,50,
102,18,1.2.0.1.0,2011-03-01,50,
40,18,3.20.0,2010-12-13,50,
74,18,8.0.2,2010-11-30,50,
80,18,1.0.0,2010-08-31,50,
89,18,4.1.0,2009-08-01,50,
82,18,5.1.0,,53,
24,18,2.0.0,,53,
84,18,2.0.0,,53,
95,18,,,50,
46,18,3.0.0,,53,
51,18,2.1.1,,53,
64,18,4.2.0,,50,Replacement shipped 1/23
45,19,2.0.0,2017-12-27,50,
74,19,"8.0.2 (2,0,0,0)",2017-06-28,50,Modded to QVI Calbox
35,19,2.3.0,2015-11-16,53,
65,19,4.0.0,2015-04-29,53,
49,19,3.1.1,2013-10-31,50,
86,19,1.0.0,2013-04-29,53,
80,19,1.0.1,2011-05-24,50,
40,19,2.3.0,2011-02-21,50,System originally shipped Feb 2009
82,19,5.1.0,2010-05-04,50,
95,19,6.2.0,2009-09-30,50,
92,19,5.1.0,2009-08-01,53,
24,19,2.0.0,,53,
84,19,2.0.0,,53,
89,19,4.1.0,,53,
46,19,3.0.0,,53,
51,19,2.1.1,,53,
64,19,4.2.1,,53,
45,20,2.0.0,2017-12-27,53,
64,20,4.1.0,2017-03-01,50,
35,20,2.3.0,2015-11-16,53,
65,20,4.0.0,2015-08-21,50,
49,20,3.1.1,2013-12-17,50,
86,20,1.0.0,2013-04-29,53,
92,20,5.1.0,2013-04-10,50,
40,20,3.20.0:2.0.0.1,2011-04-01,50,Due to Mosfet failures
102,20,1.2.0,2011-03-30,50,
51,20,2.1.1,2010-06-01,50,
82,20,5.1.0,2010-05-06,53,
92,20,5.1.0,2010-05-06,50,
89,20,4.1.0,2009-11-10,50,
74,20,8.0.2,,53,
24,20,2.0.0,,53,
84,20,2.0.0,,53,
95,20,6.1.0,,53,
46,20,3.0.0,,53,
84,21,2.0.0,2018-06-06,50,
45,21,2.0.0,2017-12-27,50,
35,21,2.3.0,2016-02-04,53,Mod 1
65,21,4.0.0,2016-01-28,50,"FTI In House (Boulder)
"
46,21,3.0.0,2013-12-17,50,
49,21,3.1.1,2013-08-13,53,
86,21,1.0.0,2013-04-29,53,
74,21,8.0.4,2013-02-12,50,Damaged Calboard to be exchanged with this one. 
82,21,5.1.0,2011-07-07,50,
40,21,3.20.0,2011-07-07,50,
102,21,1.2.0,2011-07-07,50,
51,21,2.1.1,2010-06-01,50,
89,21,4.1.0,2009-08-01,50,
24,21,2.0.0,,53,
92,21,5.1.0,,53,
95,21,6.1.0,,53,
64,21,4.1.0,,53,
65,22,4.0.0,2018-02-21,53,
45,22,2.0.0,2017-12-27,49,
35,22,2.3.0,2016-02-04,53,Mod 1
86,22,1.0.0,2013-04-29,53,
40,22,3.20.0,2011-07-07,50,
80,22,1.0.1,2011-05-24,50,
92,22,3.4.0,2011-03-24,50,Conflict with SP5 #22
74,22,8.0.2,2011-02-25,50,
51,22,2.1.0,2010-08-31,50,
82,22,5.1.0,2010-05-13,50,Sent to Manny for de-bug / bring up 4/28/11
92,22,5.1.0,2009-09-30,50,
89,22,4.1.0,2009-08-06,50,
24,22,2.0.0,,53,
84,22,2.0.0,,53,
95,22,6.1.0,,53,
46,22,3.0.0,,53,
49,22,3.2.0,,53,
64,22,4.2.1,,53,
84,23,2.0.0,2018-06-06,50,
65,23,4.0.0,2018-02-21,53,
45,23,2.0.0,2017-12-27,49,
35,23,2.3.0,2016-02-04,53,Mod 1
63,23,2.0.0,2013-10-29,50,
46,23,3.0.0,2013-06-13,50,
86,23,1.0.0,2013-04-29,53,
40,23,3.20.0,2011-07-07,50,
80,23,1.0.1,2011-02-25,50,
75,23,6.1.0,2011-02-21,50,
51,23,2.1.0,2010-08-07,50,
82,23,5.1.0,2010-05-19,50,
95,23,6.1.0,2010-03-06,50,
92,23,5.1.1,2009-10-12,50,
89,23,4.1.0,2009-10-01,50,
24,23,2.0.0,,53,
92,23,3.4.0,,50,Conflict with sp5 #23
49,23,3.2.0,,53,
64,23,4.2.1,,53,
65,24,4.0.0,2019-01-08,50,
25,24,3.0.0,2018-08-14,50,
35,24,2.3.0,2016-03-01,53,Mod 1
49,24,3.2.0,2015-02-05,53,
63,24,2.0.0,2013-12-17,50,
86,24,1.0.0,2013-04-29,53,
46,24,3.0.0,2013-03-29,50,Shipped with ICMobo 192
82,24,5.6.0,2011-07-07,50,
40,24,3.20.0,2011-07-07,50,See Noah
89,24,4.1.0,2011-03-30,50,
80,24,1.0.1,2011-02-10,50,
51,24,2.1.0,2011-01-11,50,
95,24,6.1.0,2010-03-06,50,
92,24,5.1.1,2010-03-01,50,
75,24,7.7.1,,53,
64,24,4.1.0,,53,
65,25,4.0.0,2019-02-14,50,
25,25,3.0.0,2018-08-14,50,
35,25,2.3.0,2016-03-01,53,Mod 1
63,25,2.0.0,2014-11-14,50,
46,25,3.0.0,2013-11-11,50,
86,25,1.0.0,2013-05-13,53,
74,25,8.0.2,2011-04-01,50,May have an unknown bug that causes pulse gen cal failure
80,25,1.0.1,2011-02-25,50,
82,25,5.1.0,2011-01-11,50,
92,25,5.1.1,2010-09-25,50,
90,25,3.2.1,2009-11-25,50,
40,25,3.20.0,,50,
95,25,6.1.0,,53,
51,25,2.1.1,,53,
49,25,3.2.0,,53,
64,25,4.1.0,,48,
65,26,4.0.0,2019-02-14,50,
35,26,2.3.0,2016-03-01,53,Mod 1
63,26,2.0.0,2015-02-03,53,
86,26,1.0.0,2013-05-13,53,
80,26,1.0.1,2011-05-24,50,
74,26,8.0.2,2011-04-29,50,This board may or may not stay at IR durring Mike M's trip
92,26,5.1.0,2011-03-30,50,
52,26,2.91.0,2010-11-01,50,
82,26,5.1.0,2010-06-18,53,
95,26,6.1.0,2010-04-07,52,
25,26,3.0.0,,53,
90,26,3.2.1,,53,
40,26,3.21.0.2,,50,
46,26,3.0.0,,53,
49,26,3.2.0,,53,
64,26,4,,48,
65,27,4.0.1,2019-03-28,50,
49,27,3.2.0,2016-06-16,53,
35,27,2.6.2-1.0.0.0,2016-05-16,50,
63,27,2.1.0,2015-02-03,53,
86,27,1.0.0,2013-05-13,53,
89,27,4.1.0,2013-03-15,50,To replace failed HP SP4
74,27,8.0.4,2011-07-07,50,
94,27,2.0.0,2011-07-07,50,Available in-house inventory 5/18/11
80,27,1.1.0,2011-06-20,50,Shipped with Low leakage Mux 002
92,27,5.1.1,2010-11-30,50,
82,27,5.1.0,2010-06-01,53,
51,27,2.1.0,2010-05-24,50,
95,27,6.1.0,2009-11-18,53,
25,27,3.0.0,,53,
40,27,3.10.0.2.0.1.2,,50,
46,27,3.1.0,,53,
64,27,4,,48,
65,28,4.0.1,2019-03-29,49,
49,28,3.2.0,2016-10-04,50,
63,28,2.2.0-0.0.2.0,2016-09-06,51,
35,28,2.6.2-1.0.0.0,2016-05-16,50,
40,28,3.22.0-2.0.0.2,2013-12-17,50,
74,28,8.0.2,2012-01-18,50,
88,28,5.6.0,2011-04-29,50,
95,28,6.1.0,2010-11-24,50,
52,28,2.91.0,2010-10-15,50,
82,28,5.1.1,2010-08-07,53,
92,28,5.2.0,2010-02-04,50,
80,28,1.0.1,,53,
27,28,2.0.0,,53,
64,28,4,,48,
65,29,4.0.1,2019-03-29,50,
49,29,3.2.0,2016-10-04,50,
63,29,2.2.0-0.0.2.0,2016-09-20,50,
35,29,2.6.2-1.0.0.0,2016-05-16,50,
40,29,3.22.0-0.0.0.1,2014-11-14,50,
74,29,8.0.2,2013-02-01,50,Returned to Boulder in exchange for #21
88,29,5.1.4,2011-03-21,50,
52,29,2.91.0,2010-10-15,50,
82,29,5.1.1,2010-08-31,53,
92,29,5.1.1,2010-05-07,50,Unmarked
80,29,1.0.1,,53,
27,29,2.0.0,,53,
95,29,6.1.0,,53,
64,29,4,,48,
65,30,4.0.1,2019-03-29,49,
49,30,3.2.0,2016-12-20,51,
63,30,2.2.0-0.0.0.0,2016-09-20,50,
35,30,2.6.2-1.0.0.0,2016-05-16,50,
40,30,3.22.0-0.0.0.1,2014-12-17,50,
74,30,8.0.2,2011-11-01,50,
52,30,2.91.0,2010-10-15,50,
82,30,5.1.1,2010-05-24,53,
96,30,4 Special,2010-05-13,50,Schematic in customer shippment folder
88,30,5.1.2,2010-04-23,53,
95,30,6.1.0,2009-11-10,53,
80,30,1.0.1,,53,
27,30,2.0.0,,53,
65,31,4.0.1,2019-03-29,49,
35,31,2.6.2-1.0.0.0,2018-01-18,50,Brought up in Manila
49,31,3.2.0,2016-04-18,53,
40,31,3.22.0-0.0.0.1,2015-05-13,50,
81,31,6.50.0,2013-12-17,50,
80,31,1.0.1,2012-02-23,50,
95,31,6.1.1,2011-03-30,50,
52,31,2.91.2,2011-02-16,50,
44,31,5.1.1,2010-06-01,50,
88,31,5.1.2,2010-05-06,58,
74,31,8.0.2,,53,
27,31,2.0.0,,53,
92,31,5.2.0,,50,
46,31,3.1.0,,53,
63,31,2.2.0-0.0.2.0,,50,
49,32,3.2.0,2018-03-08,50,
35,32,2.6.2-1.0.0.0,2018-01-18,50,Brought up in Manila
94,32,2.0.0,2013-10-17,50,
74,32,8.10.0,2013-04-10,50,
80,32,1.0.1,2012-08-03,53,? Diodes (ask Samantha)
95,32,6.1.0,2011-03-02,50,Being shipped back for Repair
44,32,5.1.1,2011-01-11,50,
52,32,2.91.0,2010-11-04,50,
81,32,6.50.0,2010-07-27,50,
92,32,5.1.1,2010-05-04,50,
27,32,2.0.0,,53,
89,32,4.1.0,,50,
41,32,4.0.0-2.0.0.0,,53,
63,32,2.2.0-0.0.0.0,,50,
49,33,3.2.0,2018-03-08,50,
35,33,2.6.3-1.0.0.0,2018-01-18,50,Brought up in Manila
63,33,"2.2.0-0,0,1,0",2017-07-10,50,
46,33,3.1.0,2014-07-18,53,
74,33,8.0.4,2011-10-19,50,
82,33,5.1.0,2010-08-03,53," Note that I have been adding a wire to most boards lately(J2 to U20), but this one doesn't have it (Todd)"
92,33,5.1.1,2010-06-18,50,
88,33,5.1.2,2010-05-07,50,
80,33,1.0.1,,53,
27,33,2.0.0,,53,
41,33,4.0.0-2.0.0.1,,53,
95,33,6.1.0,,53,
44,33,5.1.1,,53,
52,33,2.91.2?,,50,updated per notes from Gary in the 2.91.2 schematic on 3/2/11
35,34,2.6.3-1.0.0.0,2018-06-26,53,
63,34,2.2.0-0.0.0.0,2018-04-09,50,
49,34,3.2.0,2018-03-08,49,
46,34,3.1.0,2014-07-18,50,
82,34,5.50.0,2012-10-16,50,
88,34,5.1.4,2011-03-01,50,
44,34,5.1.1,2010-07-27,50,
92,34,5.1.1,2010-05-24,50,
95,34,6.1.1,2010-05-06,50,
80,34,1.0.1,,53,
27,34,2.0.0,,53,
41,34,4.0.0-2.0.0.2,,53,
52,34,2.91,,53,
63,35,2.2.0-0.0.0.0,2018-09-04,50,
35,35,2.6.3-1.0.0.0,2018-06-26,53,
41,35,4.0.0-2.0.0.1,2018-04-02,53,
41,35,4.0.0-2.0.0.1,2018-04-02,53,
49,35,3.2.0,2018-03-08,49,
46,35,3.1.0,2014-07-18,53,
82,35,5.5.0,2010-11-24,50,
44,35,5.1.2,2010-08-07,50,
88,35,5.1.2,2010-06-04,50,
92,35,6.1.1,2010-06-01,50,
95,35,6.1.0,2009-08-01,50,
27,35,2.0.0,,53,
52,35,2.91,,53,
63,36,2.2.0-0.0.1.0,2019-01-10,50,2kV THM
35,36,2.6.3-1.0.0.0,2018-06-26,53,
41,36,4.0.0-2.0.0.1,2018-04-02,50,
49,36,3.2.0,2018-03-08,49,
46,36,3.1.0,2014-07-18,53,
82,36,5.1.0,2011-03-18,50,
74,36,8.0.4,2011-01-17,50,Ship to Joe
88,36,5.1.4KFET,2010-10-15,50,
44,36,5.1.2,2010-08-03,50,
92,36,6.1.1,2010-07-27,58,"Was taken form bonepile and installed in A-180-063015 for GaN Systems for a while, presently is 51 stock replaced with # 116 08/05/2016"
78,36,3.4.0,,53,
27,36,2.0.0,,53,
95,36,6.1.0,,53,
52,36,2.91,,53,
63,37,2.2.0-0.0.0.0,2019-06-10,49,
41,37,4.0.0-2.0.0.2,2019-03-01,54,
35,37,2.6.3-1.0.0.0,2018-06-26,53,
